LocationId,EmbeddedLocationId,LocationName,StoreNumber,LocationType,SavedHierarchyApplicability,EffectiveHierarchyApplicability,ApplicabilityIssue,LifecycleStatus,CurrentVersionPresent,CurrentVersion,EffectiveConcurrencyVersion,VersionIssue,UpdatedAt,CurrentRegionId,CurrentRegionName,CurrentRegionStatus,CurrentDistrictId,CurrentDistrictName,CurrentDistrictStatus,LegacyDistrict,ProposedRegionId,ProposedRegionName,ProposedDistrictId,ProposedDistrictName,ReviewStatus,AdditionalIssues,Evidence,DecisionNeeded
"loc-150","loc-150","Broadway LA","150","Street / Standalone Location","Applicable","Applicable","","Active","true","5","5","","2026-09-13T00:02:04.064Z","region-west","West","Active","DIS-01","","","Inland Empire, San Diego & LA South","region-west","West","02","Inland Empire, San Diego & LA South","MissingReference","","Current DistrictId DIS-01 is not in the registry; legacy text uniquely matches active District 02","Theo must identify the intended District; no ID conversion is permitted"
"loc-105","loc-105","Ontario Mills","105","Enclosed Mall","","Applicable","","Active","true","1","1","","2026-09-17T23:26:36.569Z","","","","","","","Inland Empire, San Diego & LA South","region-west","West","02","Inland Empire, San Diego & LA South","UniqueNameCandidate","","Legacy text uniquely matches Active District 02 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-92","loc-92","LV Flagship","92","Strip Center / Shopping Center","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-38","loc-38","USC Village","38","Strip Center / Shopping Center","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-115","loc-115","Eastmont Town Center","115","Strip Center / Shopping Center","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-82","loc-82","Victor Valley Mall","82","Enclosed Mall","","Applicable","","Active","true","1","1","","2026-09-13T00:01:54.354Z","","","","","","","Inland Empire, San Diego & LA South","region-west","West","02","Inland Empire, San Diego & LA South","UniqueNameCandidate","","Legacy text uniquely matches Active District 02 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-61","loc-61","Meadows Mall","61","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-86","loc-86","","86","Other Company Location","","Not Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","NonApplicable","","Effective application contract treats this record as Not Applicable","No hierarchy assignment unless owner changes applicability"
"loc-119","loc-119","Sharpstown Mall","119","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-34","loc-34","Chula Vista Center","34","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Inland Empire, San Diego & LA South","region-west","West","02","Inland Empire, San Diego & LA South","UniqueNameCandidate","","Legacy text uniquely matches Active District 02 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-131","loc-131","Town Square Mall","131","Strip Center / Shopping Center","","Applicable","","Active","true","1","1","","2026-09-13T02:21:28.233Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-14","loc-14","Fashion Fair","14","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
